Bakerloo,Harrow And Wealdstone,Kenton
Bakerloo,Paddington,Edgware Road (Bakerloo)
Bakerloo,Edgware Road (Bakerloo),Marylebone
Bakerloo,Marylebone,Baker Street
Bakerloo,Baker Street,Regent's Park
Bakerloo,Regent's Park,Oxford Circus
Bakerloo,Oxford Circus,Piccadilly Circus
Bakerloo,Piccadilly Circus,Charing Cross
Bakerloo,Charing Cross,Embankment
Bakerloo,Embankment,Waterloo
Bakerloo,Waterloo,Lambeth North
Bakerloo,Lambeth North,Elephant And Castle
Bakerloo,Warwick Avenue,Paddington
Bakerloo,Maida Vale,Warwick Avenue
Bakerloo,Kenton,South Kenton
Bakerloo,South Kenton,North Wembley
Bakerloo,North Wembley,Wembley Central
Bakerloo,Wembley Central,Stonebridge Park
Bakerloo,Stonebridge Park,Harlesden
Bakerloo,Harlesden,Willesden Junction
Bakerloo,Willesden Junction,Kensal Green
Bakerloo,Kensal Green,Queen's Park
Bakerloo,Queen's Park,Kilburn Park
Bakerloo,Kilburn Park,Maida Vale
Central,West Acton,Ealing Broadway
Central,North Acton,Hanger Lane
Central,Hanger Lane,Perivale
Central,Perivale,Greenford
Central,Greenford,Northolt
Central,Northolt,South Ruislip
Central,South Ruislip,Ruislip Gardens
Central,Ruislip Gardens,West Ruislip
Central,East Acton,North Acton
Central,Oxford Circus,Bond Street
Central,Leyton,Stratford
Central,North Acton,West Acton
Central,White City,East Acton
Central,Shepherd's Bush,White City
Central,Gants Hill,Newbury Park
Central,Newbury Park,Barkingside
Central,Barkingside,Fairlop
Central,Fairlop,Hainault
Central,Hainault,Grange Hill
Central,Grange Hill,Chigwell
Central,Chigwell,Roding Valley
Central,Leytonstone,Leyton
Central,Stratford,Mile End
Central,Mile End,Bethnal Green
Central,Bethnal Green,Liverpool Street
Central,Liverpool Street,Bank
Central,Bank,St. Paul's
Central,St. Paul's,Chancery Lane
Central,Chancery Lane,Holborn
Central,Holborn,Tottenham Court Road
Central,Redbridge,Gants Hill
Central,Wanstead,Redbridge
Central,Holland Park,Shepherd's Bush
Central,Notting Hill Gate,Holland Park
Central,Queensway,Notting Hill Gate
Central,Lancaster Gate,Queensway
Central,Bond Street,Marble Arch
Central,Marble Arch,Lancaster Gate
Central,Epping,Theydon Bois
Central,Theydon Bois,Debden
Central,Debden,Loughton
Central,Loughton,Buckhurst Hill
Central,Buckhurst Hill,Woodford
